wallet_address,coordination_count,avg_lead_time_hours,total_volume,size_similarity,consistent_sizing
oH8tg1q1xaFVPRUsuAsRYvK6YxNhjqkyX5vjao8TZBn,5,17.863,11270.108778371,40.400774969812446,True
H2XHvRQyEAVwVjpixoRX72BZH1uYKYX8f6tdEHGniVHN,13,18.20391025641026,16811.825932743,23.1794498887833,False
DQhm7Dz5dkHDCeNLgLrhyVuPsFKEnWX8wMTbNnVhqi8M,22,17.781325757575754,15543.538033260997,12.663646873853274,False
zDwdiwJecy8TQ2KtqPUNRdgRnDdRtZG4CgNPwTHEx16,8,17.192881944444444,10846.593435088998,24.30160553336155,False
